"port","proto","svc","info"
"8353","tcp","unknown",""
"8354","tcp","unknown",""
"8355","tcp","unknown",""
"8356","tcp","unknown",""
"8357","tcp","unknown",""
"8358","tcp","unknown",""
"8359","tcp","unknown",""
"8360","tcp","unknown",""
"8361","tcp","unknown",""
"8362","tcp","unknown",""
"8363","tcp","unknown",""
"8364","tcp","unknown",""
"8365","tcp","unknown",""
"8366","tcp","unknown",""
"8367","tcp","unknown",""
"8368","tcp","unknown",""
"8369","tcp","unknown",""
"8370","tcp","unknown",""
"8371","tcp","unknown",""
"8372","tcp","unknown",""
"8373","tcp","unknown",""
"8374","tcp","unknown",""
"8375","tcp","unknown",""
"8376","tcp","cruise-enum","Cruise ENUM"
"8377","tcp","cruise-swroute","Cruise SWROUTE"
"8378","tcp","cruise-config","Cruise CONFIG"
"8379","tcp","cruise-diags","Cruise DIAGS"
"8380","tcp","cruise-update","Cruise UPDATE"
"8381","tcp","unknown",""
"8382","tcp","unknown",""
"8383","tcp","m2mservices","M2m Services"
"8384","tcp","marathontp","Marathon Transport Protocol"
"8385","tcp","unknown",""
"8386","tcp","unknown",""
"8387","tcp","unknown",""
"8388","tcp","unknown",""
"8389","tcp","unknown",""
"8390","tcp","unknown",""
"8391","tcp","unknown",""
"8392","tcp","unknown",""
"8393","tcp","unknown",""
"8394","tcp","unknown",""
"8395","tcp","unknown",""
"8396","tcp","unknown",""
"8397","tcp","unknown",""
"8398","tcp","unknown",""
"8399","tcp","unknown",""
"8400","tcp","cvd","cvd"
"8401","tcp","sabarsd","sabarsd"
"8402","tcp","abarsd","abarsd"
"8403","tcp","admind","admind"
"8404","tcp","svcloud","SuperVault Cloud"
"8405","tcp","svbackup","SuperVault Backup"
"8406","tcp","unknown",""
"8407","tcp","unknown",""
"8408","tcp","unknown",""
"8409","tcp","unknown",""
"8410","tcp","unknown",""
"8411","tcp","unknown",""
"8412","tcp","unknown",""
"8413","tcp","unknown",""
"8414","tcp","unknown",""
"8415","tcp","dlpx-sp","Delphix Session Protocol"
"8416","tcp","espeech","eSpeech Session Protocol"
"8417","tcp","espeech-rtp","eSpeech RTP Protocol"
"8418","tcp","unknown",""
"8419","tcp","unknown",""
"8420","tcp","unknown",""
"8421","tcp","unknown",""
"8422","tcp","unknown",""
"8423","tcp","aritts","Aristech text-to-speech server"
"8424","tcp","unknown",""
"8425","tcp","unknown",""
"8426","tcp","unknown",""
"8427","tcp","unknown",""
"8428","tcp","unknown",""
"8429","tcp","unknown",""
"8430","tcp","unknown",""
"8431","tcp","unknown",""
"8432","tcp","unknown",""
"8433","tcp","unknown",""
"8434","tcp","unknown",""
"8435","tcp","unknown",""
"8436","tcp","unknown",""
"8437","tcp","unknown",""
"8438","tcp","unknown",""
"8439","tcp","unknown",""
"8440","tcp","unknown",""
"8441","tcp","unknown",""
"8442","tcp","cybro-a-bus","CyBro A-bus Protocol"
"8443","tcp","https-alt","Hypertext Transfer Protocol Secure (Alternate)"
"8444","tcp","pcsync-http","PCsync HTTP"
"8445","tcp","copy","copy"
"8446","tcp","unknown",""
"8447","tcp","unknown",""
"8448","tcp","unknown",""
"8449","tcp","unknown",""
"8450","tcp","npmp","npmp"
"8451","tcp","unknown",""
"8452","tcp","unknown",""
"8453","tcp","unknown",""
"8454","tcp","unknown",""
"8455","tcp","unknown",""
"8456","tcp","unknown",""
"8457","tcp","nexentamv","Nexenta Management GUI"
"8458","tcp","unknown",""
"8459","tcp","unknown",""
"8460","tcp","unknown",""
"8461","tcp","unknown",""
"8462","tcp","unknown",""
"8463","tcp","unknown",""
"8464","tcp","unknown",""
"8465","tcp","unknown",""
"8466","tcp","unknown",""
"8467","tcp","unknown",""
"8468","tcp","unknown",""
"8469","tcp","unknown",""
"8470","tcp","cisco-avp","Cisco Address Validation Protocol"
"8471","tcp","pim-port","PIM over Reliable Transport"
"8472","tcp","otv","Overlay Transport Virtualization (OTV)"
"8473","tcp","vp2p","Virtual Point to Point"
"8474","tcp","noteshare","AquaMinds NoteShare"
"8475","tcp","unknown",""
"8476","tcp","unknown",""
"8477","tcp","unknown",""
"8478","tcp","unknown",""
"8479","tcp","unknown",""
"8480","tcp","unknown",""
"8481","tcp","unknown",""
"8482","tcp","unknown",""
"8483","tcp","unknown",""
"8484","tcp","unknown",""
"8485","tcp","unknown",""
"8486","tcp","unknown",""
"8487","tcp","unknown",""
"8488","tcp","unknown",""
"8489","tcp","unknown",""
"8490","tcp","unknown",""
"8491","tcp","unknown",""
"8492","tcp","unknown",""
"8493","tcp","unknown",""
"8494","tcp","unknown",""
"8495","tcp","unknown",""
"8496","tcp","unknown",""
"8497","tcp","unknown",""
"8498","tcp","unknown",""
"8499","tcp","unknown",""
"8500","tcp","fmtp","Flight Message Transfer Protocol"
"8501","tcp","cmtp-mgt","cmtp-mgt"
"8502","tcp","ftnmtp","FTN Message Transfer Protocol"
"8503","tcp","lsp-self-ping","MPLS LSP Self-Ping"
"8504","tcp","unknown",""
"8505","tcp","unknown",""
"8506","tcp","unknown",""
"8507","tcp","unknown",""
"8508","tcp","unknown",""
"8509","tcp","unknown",""
"8510","tcp","unknown",""
"8511","tcp","unknown",""
"8512","tcp","unknown",""
"8513","tcp","unknown",""
"8514","tcp","unknown",""
"8515","tcp","unknown",""
"8516","tcp","unknown",""
"8517","tcp","unknown",""
"8518","tcp","unknown",""
"8519","tcp","unknown",""
"8520","tcp","unknown",""
"8521","tcp","unknown",""
"8522","tcp","unknown",""
"8523","tcp","unknown",""
"8524","tcp","unknown",""
"8525","tcp","unknown",""
"8526","tcp","unknown",""
"8527","tcp","unknown",""
"8528","tcp","unknown",""
"8529","tcp","unknown",""
"8530","tcp","unknown",""
"8531","tcp","unknown",""
"8532","tcp","unknown",""
"8533","tcp","unknown",""
"8534","tcp","unknown",""
"8535","tcp","unknown",""
"8536","tcp","unknown",""
"8537","tcp","unknown",""
"8538","tcp","unknown",""
"8539","tcp","unknown",""
"8540","tcp","unknown",""
"8541","tcp","unknown",""
"8542","tcp","unknown",""
"8543","tcp","unknown",""
"8544","tcp","unknown",""
"8545","tcp","unknown",""
"8546","tcp","unknown",""
"8547","tcp","unknown",""
"8548","tcp","unknown",""
"8549","tcp","unknown",""
"8550","tcp","unknown",""
"8551","tcp","unknown",""
"8552","tcp","unknown",""
"8553","tcp","unknown",""
"8554","tcp","rtsp-alt","RTSP Alternate (see port 554)"
"8555","tcp","d-fence","SYMAX D-FENCE"
"8556","tcp","unknown",""
"8557","tcp","unknown",""
"8558","tcp","unknown",""
"8559","tcp","unknown",""
"8560","tcp","unknown",""
"8561","tcp","unknown",""
"8562","tcp","unknown",""
"8563","tcp","unknown",""
"8564","tcp","unknown",""
"8565","tcp","unknown",""
"8566","tcp","unknown",""
"8567","tcp","oap-admin","oap-admin"
"8568","tcp","unknown",""
"8569","tcp","unknown",""
"8570","tcp","unknown",""
"8571","tcp","unknown",""
"8572","tcp","unknown",""
"8573","tcp","unknown",""
"8574","tcp","unknown",""
"8575","tcp","unknown",""
"8576","tcp","unknown",""
"8577","tcp","unknown",""
"8578","tcp","unknown",""
"8579","tcp","unknown",""
"8580","tcp","unknown",""
"8581","tcp","unknown",""
"8582","tcp","unknown",""
"8583","tcp","unknown",""
"8584","tcp","unknown",""
"8585","tcp","unknown",""
"8586","tcp","unknown",""
"8587","tcp","unknown",""
"8588","tcp","unknown",""
"8589","tcp","unknown",""
"8590","tcp","unknown",""
"8591","tcp","unknown",""
"8592","tcp","unknown",""
"8593","tcp","unknown",""
"8594","tcp","unknown",""
"8595","tcp","unknown",""
"8596","tcp","unknown",""
"8597","tcp","unknown",""
"8598","tcp","unknown",""
"8599","tcp","unknown",""
"8600","tcp","asterix","Surveillance Data"
"8601","tcp","unknown",""
"8602","tcp","unknown",""
"8603","tcp","unknown",""
"8604","tcp","unknown",""
"8605","tcp","unknown",""
"8606","tcp","unknown",""
"8607","tcp","unknown",""
"8608","tcp","unknown",""
"8609","tcp","canon-cpp-disc","Canon Compact Printer Protocol Discovery"
"8610","tcp","canon-mfnp","Canon MFNP Service"
"8611","tcp","canon-bjnp1","Canon BJNP Port 1"
"8612","tcp","canon-bjnp2","Canon BJNP Port 2"
"8613","tcp","canon-bjnp3","Canon BJNP Port 3"
"8614","tcp","canon-bjnp4","Canon BJNP Port 4"
"8615","tcp","imink","Imink Service Control"
"8616","tcp","unknown",""
"8617","tcp","unknown",""
"8618","tcp","unknown",""
"8619","tcp","unknown",""
"8620","tcp","unknown",""
"8621","tcp","unknown",""
"8622","tcp","unknown",""
"8623","tcp","unknown",""
"8624","tcp","unknown",""
"8625","tcp","unknown",""
"8626","tcp","unknown",""
"8627","tcp","unknown",""
"8628","tcp","unknown",""
"8629","tcp","unknown",""
"8630","tcp","unknown",""
"8631","tcp","unknown",""
"8632","tcp","unknown",""
"8633","tcp","unknown",""
"8634","tcp","unknown",""
"8635","tcp","unknown",""
"8636","tcp","unknown",""
"8637","tcp","unknown",""
"8638","tcp","unknown",""
"8639","tcp","unknown",""
"8640","tcp","unknown",""
"8641","tcp","unknown",""
"8642","tcp","unknown",""
"8643","tcp","unknown",""
"8644","tcp","unknown",""
"8645","tcp","unknown",""
"8646","tcp","unknown",""
"8647","tcp","unknown",""
"8648","tcp","unknown",""
"8649","tcp","unknown",""
"8650","tcp","unknown",""
"8651","tcp","unknown",""
"8652","tcp","unknown",""
"8653","tcp","unknown",""
"8654","tcp","unknown",""
"8655","tcp","unknown",""
"8656","tcp","unknown",""
"8657","tcp","unknown",""
"8658","tcp","unknown",""
"8659","tcp","unknown",""
"8660","tcp","unknown",""
"8661","tcp","unknown",""
"8662","tcp","unknown",""
"8663","tcp","unknown",""
"8664","tcp","unknown",""
"8665","tcp","monetra","monetra"
"8666","tcp","monetra-admin","Monetra Administrative Access"
"8667","tcp","unknown",""
"8668","tcp","unknown",""
"8669","tcp","unknown",""
"8670","tcp","unknown",""
"8671","tcp","unknown",""
"8672","tcp","unknown",""
"8673","tcp","unknown",""
"8674","tcp","unknown",""
"8675","tcp","msi-cps-rm","msi-cps-rm"
"8676","tcp","unknown",""
"8677","tcp","unknown",""
"8678","tcp","unknown",""
"8679","tcp","unknown",""
"8680","tcp","unknown",""
"8681","tcp","unknown",""
"8682","tcp","unknown",""
"8683","tcp","unknown",""
"8684","tcp","unknown",""
"8685","tcp","unknown",""
"8686","tcp","sun-as-jmxrmi","Sun App Server - JMX/RMI"
"8687","tcp","unknown",""
"8688","tcp","openremote-ctrl","OpenRemote Controller HTTP/REST"
"8689","tcp","unknown",""
"8690","tcp","unknown",""
"8691","tcp","unknown",""
"8692","tcp","unknown",""
"8693","tcp","unknown",""
"8694","tcp","unknown",""
"8695","tcp","unknown",""
"8696","tcp","unknown",""
"8697","tcp","unknown",""
"8698","tcp","unknown",""
"8699","tcp","vnyx","VNYX Primary Port"
"8700","tcp","unknown",""
"8701","tcp","unknown",""
"8702","tcp","unknown",""
"8703","tcp","unknown",""
"8704","tcp","unknown",""
"8705","tcp","unknown",""
"8706","tcp","unknown",""
"8707","tcp","unknown",""
"8708","tcp","unknown",""
"8709","tcp","unknown",""
"8710","tcp","semi-grpc","gRPC for SEMI Standards implementations"
"8711","tcp","nvc","Nuance Voice Control"
"8712","tcp","unknown",""
"8713","tcp","unknown",""
"8714","tcp","unknown",""
"8715","tcp","unknown",""
"8716","tcp","unknown",""
"8717","tcp","unknown",""
"8718","tcp","unknown",""
"8719","tcp","unknown",""
"8720","tcp","unknown",""
"8721","tcp","unknown",""
"8722","tcp","unknown",""
"8723","tcp","unknown",""
"8724","tcp","unknown",""
"8725","tcp","unknown",""
"8726","tcp","unknown",""
"8727","tcp","unknown",""
"8728","tcp","unknown",""
"8729","tcp","unknown",""
"8730","tcp","unknown",""
"8731","tcp","unknown",""
"8732","tcp","dtp-net","DASGIP Net Services"
"8733","tcp","ibus","ibus"
"8734","tcp","unknown",""
"8735","tcp","unknown",""
"8736","tcp","unknown",""
"8737","tcp","unknown",""
"8738","tcp","unknown",""
"8739","tcp","unknown",""
"8740","tcp","unknown",""
"8741","tcp","unknown",""
"8742","tcp","unknown",""
"8743","tcp","unknown",""
"8744","tcp","unknown",""
"8745","tcp","unknown",""
"8746","tcp","unknown",""
"8747","tcp","unknown",""
"8748","tcp","unknown",""
"8749","tcp","unknown",""
"8750","tcp","dey-keyneg","DEY Storage Key Negotiation"
"8751","tcp","unknown",""
"8752","tcp","unknown",""
"8753","tcp","unknown",""
"8754","tcp","unknown",""
"8755","tcp","unknown",""
"8756","tcp","unknown",""
"8757","tcp","unknown",""
"8758","tcp","unknown",""
"8759","tcp","unknown",""
"8760","tcp","unknown",""
"8761","tcp","unknown",""
"8762","tcp","unknown",""
"8763","tcp","mc-appserver","mc-appserver"
"8764","tcp","openqueue","openqueue"
"8765","tcp","ultraseek-http","Ultraseek HTTP"
"8766","tcp","amcs","Agilent Connectivity Service"
"8767","tcp","core-of-source","Online mobile multiplayer game"
"8768","tcp","sandpolis","Sandpolis Server"
"8769","tcp","oktaauthenticat","Okta MultiPlatform Access Mgmt for Cloud Svcs"
"8770","tcp","apple-iphoto","apple-iphoto"
"8771","tcp","unknown",""
"8772","tcp","unknown",""
"8773","tcp","unknown",""
"8774","tcp","unknown",""
"8775","tcp","unknown",""
"8776","tcp","unknown",""
"8777","tcp","unknown",""
"8778","tcp","uec","Stonebranch Universal Enterprise Controller"
"8779","tcp","unknown",""
"8780","tcp","unknown",""
"8781","tcp","unknown",""
"8782","tcp","unknown",""
"8783","tcp","unknown",""
"8784","tcp","unknown",""
"8785","tcp","unknown",""
"8786","tcp","msgclnt","Message Client"
"8787","tcp","msgsrvr","Message Server"
"8788","tcp","unknown",""
"8789","tcp","unknown",""
"8790","tcp","unknown",""
"8791","tcp","unknown",""
"8792","tcp","unknown",""
"8793","tcp","acd-pm","Accedian Performance Measurement"
"8794","tcp","unknown",""
"8795","tcp","unknown",""
"8796","tcp","unknown",""
"8797","tcp","unknown",""
"8798","tcp","unknown",""
"8799","tcp","unknown",""
"8800","tcp","sunwebadmin","Sun Web Server Admin Service"
"8801","tcp","unknown",""
"8802","tcp","unknown",""
"8803","tcp","unknown",""
"8804","tcp","truecm","truecm"
"8805","tcp","pfcp","Destination Port number for PFCP"
"8806","tcp","unknown",""
"8807","tcp","hes-clip","HES-CLIP Interoperability protocol"
"8808","tcp","ssports-bcast","STATSports Broadcast Service"
"8809","tcp","3gpp-monp","MCPTT Off-Network Protocol (MONP)"
"8810","tcp","unknown",""
"8811","tcp","unknown",""
"8812","tcp","unknown",""
"8813","tcp","unknown",""
"8814","tcp","unknown",""
"8815","tcp","unknown",""
"8816","tcp","unknown",""
"8817","tcp","unknown",""
"8818","tcp","unknown",""
"8819","tcp","unknown",""
"8820","tcp","unknown",""
"8821","tcp","unknown",""
"8822","tcp","unknown",""
"8823","tcp","unknown",""
"8824","tcp","unknown",""
"8825","tcp","unknown",""
"8826","tcp","unknown",""
"8827","tcp","unknown",""
"8828","tcp","unknown",""
"8829","tcp","unknown",""
"8830","tcp","unknown",""
"8831","tcp","unknown",""
"8832","tcp","unknown",""
"8833","tcp","unknown",""
"8834","tcp","nessus-xmlrpc","nessus-xmlrpc"
"8835","tcp","unknown",""
"8836","tcp","unknown",""
"8837","tcp","unknown",""
"8838","tcp","unknown",""
"8839","tcp","unknown",""
"8840","tcp","unknown",""
"8841","tcp","unknown",""
"8842","tcp","unknown",""
"8843","tcp","unknown",""
"8844","tcp","unknown",""
"8845","tcp","unknown",""
"8846","tcp","unknown",""
"8847","tcp","unknown",""
"8848","tcp","unknown",""
"8849","tcp","unknown",""
"8850","tcp","unknown",""
"8851","tcp","unknown",""
"8852","tcp","unknown",""
"8853","tcp","unknown",""
"8854","tcp","unknown",""
"8855","tcp","unknown",""
"8856","tcp","unknown",""
"8857","tcp","unknown",""
"8858","tcp","unknown",""
"8859","tcp","unknown",""
"8860","tcp","unknown",""
"8861","tcp","unknown",""
"8862","tcp","unknown",""
"8863","tcp","unknown",""
"8864","tcp","unknown",""
"8865","tcp","unknown",""
"8866","tcp","unknown",""
"8867","tcp","unknown",""
"8868","tcp","unknown",""
"8869","tcp","unknown",""
"8870","tcp","unknown",""
"8871","tcp","unknown",""
"8872","tcp","unknown",""
"8873","tcp","dxspider","dxspider linking protocol"
"8874","tcp","unknown",""
"8875","tcp","unknown",""
"8876","tcp","unknown",""
"8877","tcp","unknown",""
"8878","tcp","unknown",""
"8879","tcp","unknown",""
"8880","tcp","cddbp-alt","CDDBP"
"8881","tcp","galaxy4d","Galaxy4D Online Game Engine"
"8882","tcp","unknown",""
"8883","tcp","secure-mqtt","Secure MQTT"
"8884","tcp","unknown",""
"8885","tcp","unknown",""
"8886","tcp","unknown",""
"8887","tcp","unknown",""
"8888","tcp","sun-answerbook","sun-answerbook"
"8889","tcp","ddi-tcp-2","ddi-tcp-2"
"8890","tcp","ddi-tcp-3","ddi-tcp-3"
"8891","tcp","ddi-tcp-4","ddi-tcp-4"
"8892","tcp","seosload","seosload"
"8893","tcp","ddi-tcp-6","ddi-tcp-6"
"8894","tcp","ddi-tcp-7","ddi-tcp-7"
"8895","tcp","unknown",""
"8896","tcp","unknown",""
"8897","tcp","unknown",""
"8898","tcp","unknown",""
"8899","tcp","ospf-lite","ospf-lite"
"8900","tcp","jmb-cds1","JMB-CDS 1"
"8901","tcp","jmb-cds2","JMB-CDS 2"
"8902","tcp","unknown",""
"8903","tcp","unknown",""
"8904","tcp","unknown",""
"8905","tcp","unknown",""
"8906","tcp","unknown",""
"8907","tcp","unknown",""
"8908","tcp","unknown",""
"8909","tcp","unknown",""
"8910","tcp","manyone-http","manyone-http"
"8911","tcp","manyone-xml","manyone-xml"
"8912","tcp","wcbackup","Windows Client Backup"
"8913","tcp","dragonfly","Dragonfly System Service"
"8914","tcp","unknown",""
"8915","tcp","unknown",""
"8916","tcp","unknown",""
"8917","tcp","unknown",""
"8918","tcp","unknown",""
"8919","tcp","unknown",""
"8920","tcp","unknown",""
"8921","tcp","unknown",""
"8922","tcp","unknown",""
"8923","tcp","unknown",""
"8924","tcp","unknown",""
"8925","tcp","unknown",""
"8926","tcp","unknown",""
"8927","tcp","unknown",""
"8928","tcp","unknown",""
"8929","tcp","unknown",""
"8930","tcp","unknown",""
"8931","tcp","unknown",""
"8932","tcp","unknown",""
"8933","tcp","unknown",""
"8934","tcp","unknown",""
"8935","tcp","unknown",""
"8936","tcp","unknown",""
"8937","tcp","twds","Transaction Warehouse Data Service"
"8938","tcp","unknown",""
"8939","tcp","unknown",""
"8940","tcp","unknown",""
"8941","tcp","unknown",""
"8942","tcp","unknown",""
"8943","tcp","unknown",""
"8944","tcp","unknown",""
"8945","tcp","unknown",""
"8946","tcp","unknown",""
"8947","tcp","unknown",""
"8948","tcp","unknown",""
"8949","tcp","unknown",""
"8950","tcp","unknown",""
"8951","tcp","unknown",""
"8952","tcp","unknown",""
"8953","tcp","ub-dns-control","unbound dns nameserver control"
"8954","tcp","cumulus-admin","Cumulus Admin Port"
"8955","tcp","unknown",""
"8956","tcp","unknown",""
"8957","tcp","unknown",""
"8958","tcp","unknown",""
"8959","tcp","unknown",""
"8960","tcp","unknown",""
"8961","tcp","unknown",""
"8962","tcp","unknown",""
"8963","tcp","unknown",""
"8964","tcp","unknown",""
"8965","tcp","unknown",""
"8966","tcp","unknown",""
"8967","tcp","unknown",""
"8968","tcp","unknown",""
"8969","tcp","unknown",""
"8970","tcp","unknown",""
"8971","tcp","unknown",""
"8972","tcp","unknown",""
"8973","tcp","unknown",""
"8974","tcp","unknown",""
"8975","tcp","unknown",""
"8976","tcp","unknown",""
"8977","tcp","unknown",""
"8978","tcp","unknown",""
"8979","tcp","unknown",""
"8980","tcp","nod-provider","Network of Devices Provider"
"8981","tcp","nod-client","Network of Devices Client"
"8982","tcp","unknown",""
"8983","tcp","unknown",""
"8984","tcp","unknown",""
"8985","tcp","unknown",""
"8986","tcp","unknown",""
"8987","tcp","unknown",""
"8988","tcp","unknown",""
"8989","tcp","sunwebadmins","Sun Web Server SSL Admin Service"
"8990","tcp","http-wmap","webmail HTTP service"
"8991","tcp","https-wmap","webmail HTTPS service"
"8992","tcp","unknown",""
"8993","tcp","unknown",""
"8994","tcp","unknown",""
"8995","tcp","unknown",""
"8996","tcp","unknown",""
"8997","tcp","oracle-ms-ens","Oracle Messaging Server Event Notification Service"
"8998","tcp","canto-roboflow","Canto RoboFlow Control"
"8999","tcp","bctp","Brodos Crypto Trade Protocol"
"9000","tcp","cslistener","cslistener"
"9001","tcp","tor-orport","tor-orport"
"9002","tcp","dynamid","DynamID authentication"
"9003","tcp","unknown",""
"9004","tcp","unknown",""
"9005","tcp","golem","Golem Inter-System RPC"
"9006","tcp","unknown",""
"9007","tcp","ogs-client","Open Grid Services Client"
"9008","tcp","ogs-server","Open Grid Services Server"
"9009","tcp","pichat","Pichat Server"
"9010","tcp","sdr","Secure Data Replicator Protocol"
"9011","tcp","d-star","D-Star Routing digital voice+data for amateur radio"
"9012","tcp","unknown",""
"9013","tcp","unknown",""
"9014","tcp","unknown",""
"9015","tcp","unknown",""
"9016","tcp","unknown",""
"9017","tcp","unknown",""
"9018","tcp","unknown",""
"9019","tcp","unknown",""
"9020","tcp","tambora","tambora"
"9021","tcp","panagolin-ident","Pangolin Identification"
"9022","tcp","paragent","PrivateArk Remote Agent"
"9023","tcp","swa-1","Secure Web Access - 1"
"9024","tcp","swa-2","Secure Web Access - 2"
"9025","tcp","swa-3","Secure Web Access - 3"
"9026","tcp","swa-4","Secure Web Access - 4"
"9027","tcp","unknown",""
"9028","tcp","unknown",""
"9029","tcp","unknown",""
"9030","tcp","unknown",""
"9031","tcp","unknown",""
"9032","tcp","unknown",""
"9033","tcp","unknown",""
"9034","tcp","unknown",""
"9035","tcp","unknown",""
"9036","tcp","unknown",""
"9037","tcp","unknown",""
"9038","tcp","unknown",""
"9039","tcp","unknown",""
"9040","tcp","tor-trans","Tor Transport (www.torproject.org)"
"9041","tcp","unknown",""
"9042","tcp","unknown",""
"9043","tcp","unknown",""
"9044","tcp","unknown",""
"9045","tcp","unknown",""
"9046","tcp","unknown",""
"9047","tcp","unknown",""
"9048","tcp","unknown",""
"9049","tcp","unknown",""
"9050","tcp","tor-socks","tor-socks"
"9051","tcp","tor-control","tor-control"
"9052","tcp","unknown",""
"9053","tcp","unknown",""
"9054","tcp","unknown",""
"9055","tcp","unknown",""
"9056","tcp","unknown",""
"9057","tcp","unknown",""
"9058","tcp","unknown",""
"9059","tcp","unknown",""
"9060","tcp","CardWeb-IO","CardWeb-IO"
"9061","tcp","unknown",""
"9062","tcp","unknown",""
"9063","tcp","unknown",""
"9064","tcp","unknown",""
"9065","tcp","unknown",""
"9066","tcp","unknown",""
"9067","tcp","unknown",""
"9068","tcp","unknown",""
"9069","tcp","unknown",""
"9070","tcp","unknown",""
"9071","tcp","unknown",""
"9072","tcp","unknown",""
"9073","tcp","unknown",""
"9074","tcp","unknown",""
"9075","tcp","unknown",""
"9076","tcp","unknown",""
"9077","tcp","unknown",""
"9078","tcp","unknown",""
"9079","tcp","unknown",""
"9080","tcp","glrpc","Groove GLRPC"
"9081","tcp","cisco-aqos","Required for Adaptive Quality of Service"
"9082","tcp","unknown",""
"9083","tcp","emc-pp-mgmtsvc","EMC PowerPath Mgmt Service"
"9084","tcp","aurora","IBM AURORA Performance Visualizer"
"9085","tcp","ibm-rsyscon","IBM Remote System Console"
"9086","tcp","net2display","Vesa Net2Display"
"9087","tcp","classic","Classic Data Server"
"9088","tcp","sqlexec","IBM Informix SQL Interface"
"9089","tcp","sqlexec-ssl","IBM Informix SQL Interface - Encrypted"
"9090","tcp","zeus-admin","zeus-admin"
"9091","tcp","xmltec-xmlmail","xmltec-xmlmail"
"9092","tcp","XmlIpcRegSvc","Xml-Ipc Server Reg"
"9093","tcp","copycat","Copycat database replication service"
"9094","tcp","unknown",""
"9095","tcp","unknown",""
"9096","tcp","unknown",""
"9097","tcp","unknown",""
"9098","tcp","unknown",""
"9099","tcp","unknown",""
"9100","tcp","jetdirect","jetdirect"
"9101","tcp","jetdirect","jetdirect"
"9102","tcp","jetdirect","jetdirect"
"9103","tcp","jetdirect","jetdirect"
"9104","tcp","jetdirect","jetdirect"
"9105","tcp","jetdirect","jetdirect"
"9106","tcp","jetdirect","jetdirect"
"9107","tcp","jetdirect","jetdirect"
"9108","tcp","unknown",""
"9109","tcp","unknown",""
"9110","tcp","unknown",""
"9111","tcp","DragonIDSConsole","DragonIDSConsole"
"9112","tcp","unknown",""
"9113","tcp","unknown",""
"9114","tcp","unknown",""
"9115","tcp","unknown",""
"9116","tcp","unknown",""
"9117","tcp","unknown",""
"9118","tcp","unknown",""
"9119","tcp","mxit","MXit Instant Messaging"
"9120","tcp","unknown",""
"9121","tcp","unknown",""
"9122","tcp","grcmp","Global Relay compliant mobile instant messaging protocol"
"9123","tcp","grcp","Global Relay compliant instant messaging protocol"
"9124","tcp","unknown",""
"9125","tcp","unknown",""
"9126","tcp","unknown",""
"9127","tcp","unknown",""
"9128","tcp","unknown",""
"9129","tcp","unknown",""
"9130","tcp","unknown",""
"9131","tcp","dddp","Dynamic Device Discovery"
"9132","tcp","unknown",""
"9133","tcp","unknown",""
"9134","tcp","unknown",""
"9135","tcp","unknown",""
"9136","tcp","unknown",""
"9137","tcp","unknown",""
"9138","tcp","unknown",""
"9139","tcp","unknown",""
"9140","tcp","unknown",""
"9141","tcp","unknown",""
"9142","tcp","unknown",""
"9143","tcp","unknown",""
"9144","tcp","unknown",""
"9145","tcp","unknown",""
"9146","tcp","unknown",""
"9147","tcp","unknown",""
"9148","tcp","unknown",""
"9149","tcp","unknown",""
"9150","tcp","unknown",""
"9151","tcp","unknown",""
"9152","tcp","ms-sql2000","ms-sql2000"
"9153","tcp","unknown",""
"9154","tcp","unknown",""
"9155","tcp","unknown",""
"9156","tcp","unknown",""
"9157","tcp","unknown",""
"9158","tcp","unknown",""
"9159","tcp","unknown",""
"9160","tcp","apani1","apani1"
"9161","tcp","apani2","apani2"
"9162","tcp","apani3","apani3"
"9163","tcp","apani4","apani4"
"9164","tcp","apani5","apani5"
"9165","tcp","unknown",""
"9166","tcp","unknown",""
"9167","tcp","unknown",""
"9168","tcp","unknown",""
"9169","tcp","unknown",""
"9170","tcp","unknown",""
"9171","tcp","unknown",""
"9172","tcp","unknown",""
"9173","tcp","unknown",""
"9174","tcp","unknown",""
"9175","tcp","unknown",""
"9176","tcp","unknown",""
"9177","tcp","unknown",""
"9178","tcp","unknown",""
"9179","tcp","unknown",""
"9180","tcp","unknown",""
"9181","tcp","unknown",""
"9182","tcp","unknown",""
"9183","tcp","unknown",""
"9184","tcp","unknown",""
"9185","tcp","unknown",""
"9186","tcp","unknown",""
"9187","tcp","unknown",""
"9188","tcp","unknown",""
"9189","tcp","unknown",""
"9190","tcp","unknown",""
"9191","tcp","sun-as-jpda","Sun AppSvr JPDA"
"9192","tcp","unknown",""
"9193","tcp","unknown",""
"9194","tcp","unknown",""
"9195","tcp","unknown",""
"9196","tcp","unknown",""
"9197","tcp","unknown",""
"9198","tcp","unknown",""
"9199","tcp","unknown",""
"9200","tcp","wap-wsp","wap-wsp"
"9201","tcp","wap-wsp-wtp","WAP session service"
"9202","tcp","wap-wsp-s","WAP secure connectionless session service"
"9203","tcp","wap-wsp-wtp-s","WAP secure session service"
"9204","tcp","wap-vcard","WAP vCard"
"9205","tcp","wap-vcal","WAP vCal"
"9206","tcp","wap-vcard-s","WAP vCard Secure"
"9207","tcp","wap-vcal-s","WAP vCal Secure"
"9208","tcp","rjcdb-vcards","rjcdb vCard"
"9209","tcp","almobile-system","ALMobile System Service"
"9210","tcp","oma-mlp","OMA Mobile Location Protocol"
